Year,Picture,author_sex,Laureate,Country,Language(s),Citation,Genre(s)
1993,,f,"Toni Morrison
(1931–2019)", United States,English,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""[101]","novel, essay"
1994,,m,"Kenzaburō Ōe
(b. 1935)", Japan,Japanese,"""who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today""[102]","novel, short story, essay"
1995,,m,"Seamus Heaney
(1939–2013)", Ireland,English,"""for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past""[103]","poetry, drama, translation, essay"
1996,,f,"Wisława Szymborska
(1923–2012)", Poland,Polish,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""[104]","poetry, essay, translation"
1997,,m,"Dario Fo
(1926–2016)", Italy,Italian,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""[105]","drama, song lyrics"
1998,,m,"José Saramago
(1922–2010)", Portugal,Portuguese,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality""[106]","novel, drama, poetry"
1999,,m,"Günter Grass
(1927–2015)", Germany,German,"""whose frolicsome black fables portray the forgotten face of history""[107]","novel, drama, poetry, essay"
2000,,m,"Gao Xingjian
(b. 1940)","France (since 1998)
 China (1940–1998)",Chinese,"""for an oeuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama""[108]","novel, drama, essay"
2001,,m,"Vidiadhar Surajprasad Naipaul
(1932–2018)", United Kingdom Trinidad and Tobago,English,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""[109]","novel, essay"
2002,,m,"Imre Kertész
(1929–2016)", Hungary,Hungarian,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""[110]",novel
2003,,m,"John Maxwell Coetzee
(b. 1940)", South Africa,English,"""who in innumerable guises portrays the surprising involvement of the outsider""[111]","novel, essay, translation"
2004,,f,"Elfriede Jelinek
(b. 1946)", Austria,German,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power""[112]","novel, drama"
2005,,m,"Harold Pinter
(1930–2008)", United Kingdom,English,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""[113]","drama, screenplay, poetry"
2006,,m,"Orhan Pamuk
(b. 1952)", Turkey,Turkish,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""[114]","novel, screenplay, autobiography, essay"
2007,,f,"Doris Lessing
(1919–2013)"," United Kingdom
 Zimbabwe
(born in Iran)",English,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""[115]","novel, short story, memoir/autobiography, drama, poetry, essay"
2008,,m,"Jean-Marie Gustave Le Clézio
(b. 1940)"," France
 Mauritius",French,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization""[116]","novel, short story, essay, translation"
2009,,f,"Herta Müller
(b. 1953)"," Germany
 Romania",German,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""[117]","novel, short story, poetry, essay"
2010,,m,"Mario Vargas Llosa
(b. 1936)"," Peru
 Spain",Spanish,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat""[118]","novel, short story, essay, drama, memoir"
2011,,m,"Tomas Tranströmer
(1931–2015)", Sweden,Swedish,"""because, through his condensed, translucent images, he gives us fresh access to reality""[119]","poetry, translation"
2012,,m,"Mo Yan
(b. 1955)", China,Chinese,"""who with hallucinatory realism merges folk tales, history and the contemporary""[120]","novel, short story"
2013,,f,"Alice Munro
(b. 1931)", Canada,English,"""master of the contemporary short story""[121]",short story
2014,,m,"Patrick Modiano
(b. 1945)", France,French,"""for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the Occupation""[122]","novel, screenplay"
2015,,f,"Svetlana Alexievich
(b. 1948)"," Belarus
(Born in the Soviet Union)",Russian,"""for her polyphonic writings, a monument to suffering and courage in our time""[123]","history, essay"
2016,,m,"Bob Dylan
(b. 1941)", United States,English,"""for having created new poetic expressions within the great American song tradition""[124]","poetry, song lyrics"
2017,,m,"Kazuo Ishiguro
(b. 1954)", United Kingdom (Born in Japan),English,"""who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world""[125]","novel, screenplay, short story"
2018,,f,"Olga Tokarczuk
(b. 1962)", Poland,Polish,"""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life""[126]","novel, short story, poetry, essay, screenplay"
2019,,m,"Peter Handke
(b. 1942)", Austria,German,"""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience""[127]","novel, short story, drama, essay, translation, screenplay"
2020,,f,"Louise Glück
(b. 1943)", United States,English,"""for her unmistakable poetic voice that with austere beauty makes individual existence universal""[128]","poetry, essay"
2021,,m,"Abdulrazak Gurnah
(b. 1948)"," United Kingdom
 Tanzania
(Born in the Sultanate of Zanzibar)",English,"""for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents""[129]","novel, short story, essay"
